================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [263/5830] IWM chunk 24/530 | 7218 bars | ETA: 17h 14m 48s
  [264/5830] HYG chunk 24/530 | 7218 bars | ETA: 17h 14m 37s
  [265/5830] LQD chunk 24/530 | 7218 bars | ETA: 17h 14m 26s
  [266/5830] TLT chunk 24/530 | 7218 bars | ETA: 17h 14m 15s
  [267/5830] GLD chunk 24/530 | 7218 bars | ETA: 17h 14m 04s
  [268/5830] SPY chunk 26/530 | 7590 bars | ETA: 17h 13m 53s
  [269/5830] QQQ chunk 26/530 | 7590 bars | ETA: 17h 13m 41s
  [270/5830] AAPL chunk 26/530 | 7590 bars | ETA: 17h 13m 30s
  [271/5830] NVDA chunk 25/530 | 7560 bars | ETA: 17h 13m 18s
  [272/5830] MSFT chunk 25/530 | 7560 bars | ETA: 17h 13m 07s
  [273/5830] SMCI chunk 25/530 | 7560 bars | ETA: 17h 12m 55s
  [274/5830] IWM chunk 25/530 | 7560 bars | ETA: 17h 12m 44s
  [275/5830] HYG chunk 25/530 | 7560 bars | ETA: 17h 12m 32s
  [276/5830] LQD chunk 25/530 | 7560 bars | ETA: 17h 12m 21s
  [277/5830] TLT chunk 25/530 | 7560 bars | ETA: 17h 12m 10s
  [278/5830] GLD chunk 25/530 | 7560 bars | ETA: 17h 11m 59s
  [279/5830] SPY chunk 27/530 | 7854 bars | ETA: 17h 11m 48s
  [280/5830] QQQ chunk 27/530 | 7854 bars | ETA: 17h 11m 36s
  [281/5830] AAPL chunk 27/530 | 7854 bars | ETA: 17h 11m 25s
